% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 39.27    0.009468          13       680        40 newfstatat
 13.72    0.003307          15       214           read
  8.49    0.002048          15       136         5 openat
  7.82    0.001886           9       200         3 lseek
  6.41    0.001545          21        72           mmap
  6.11    0.001474          11       134           close
  4.83    0.001165          11       104       101 ioctl
  3.73    0.000900          50        18           mprotect
  2.77    0.000668          23        28           getdents64
  2.00    0.000483         483         1           execve
  1.49    0.000359          59         6           munmap
  1.12    0.000270          10        26           brk
  0.54    0.000130           7        17           futex
  0.37    0.000089           1        66           rt_sigaction
  0.35    0.000084          21         4           getrandom
  0.28    0.000067          16         4           pread64
  0.19    0.000045           9         5         4 readlink
  0.12    0.000030          15         2         1 arch_prctl
  0.11    0.000027          27         1         1 access
  0.06    0.000015          15         1           set_robust_list
  0.05    0.000012          12         1           set_tid_address
  0.05    0.000012          12         1           prlimit64
  0.04    0.000010          10         1           geteuid
  0.02    0.000006           6         1           getuid
  0.02    0.000004           4         1           getegid
  0.02    0.000004           4         1           rseq
  0.01    0.000003           3         1           getgid
  0.00    0.000000           0         1           write
  0.00    0.000000           0         3           dup
  0.00    0.000000           0         1           fcntl
  0.00    0.000000           0         1           getcwd
  0.00    0.000000           0         1           sysinfo
  0.00    0.000000           0         1           gettid
------ ----------- ----------- --------- --------- ----------------
100.00    0.024111          13      1734       155 total
